year,rgn_id,fao_rgn,taxon_scientific_name,taxon_common_name,taxon_key,tons,stock_id
1954,137,87,Mugil cephalus,Flathead grey mullet,600785,4.65315686716726,Mugil_cephalus-87
1954,137,87,Mugilidae,"Mullets, grey mullets",400359,37.4706430788477,Mugilidae-87
1954,137,87,Mycteroperca,"Scamps, gags",503028,212.110095092821,Mycteroperca-87
1954,137,87,Mycteroperca xenarcha,Broomtail grouper,603334,41.5657016316431,Mycteroperca_xenarcha-87
1954,137,87,Panulirus gracilis,Blue spiny lobster,690619,0.112360741180141,Panulirus_gracilis-87
1954,137,87,Paralabrax,Sand basses,502364,161.744571920031,Paralabrax-87
1954,137,87,Paralabrax humeralis,Peruvian rock seabass,600352,24.8879030870586,Paralabrax_humeralis-87
1954,137,87,Paralonchurus peruanus,Peruvian banded croaker,600424,1.24358732540135,Paralonchurus_peruanus-87
1954,137,87,Peristediidae,"Armored searobins, gurnards",400581,4014.68743759883,Peristediidae-87
1954,137,87,Pleuronectiformes,Flatfishes,300061,0.0303608207340378,Pleuronectiformes-87
1954,137,87,Pomadasys,Grunters,500516,1169.6259845664,Pomadasys-87
1954,137,87,Prionace glauca,Blue shark,600898,83.3432257906685,Prionace_glauca-87
1954,137,87,Rajiformes,Skates and rays,300014,460.202398246374,Rajiformes-87
1954,137,87,Sarda chiliensis,Eastern Pacific bonito,600113,749.30605912159,Sarda_chiliensis-87
